silhouette,dbi,chi,dunn,cohesion,separation,cosine_intra,cosine_inter,singleton_ratio,K,variant
0.029242182,3.8459399386606066,623.6863074737482,0.19507095217704773,1.1865920117191258,0.7542486190795898,0.5335743689265788,-0.006958289701110011,0.0,100,kmeans
-0.0314676,66.22417594679277,0.9896255182274479,0.0161270871758461,1.4102972256679447,0.03587545454502106,0.027792238112535686,0.1659983053452728,0.0,100,baseline_uniform_random
-0.038623642,68.50115157163226,0.9854116103157217,0.013906636275351048,1.4103803845290128,0.03758954629302025,0.02752655400483066,0.161751852051265,0.0,100,baseline_shuffle_size
-0.030575521,59.098604185616274,8.544439713616736,0.01620631292462349,1.4067513667124862,0.08878934383392334,0.06355222300149391,0.09871524589038937,0.0,100,baseline_length_buckets
-0.03588992,51.73602372541962,154.1970433834935,0.016803953796625137,1.3429380946313718,0.36403775215148926,0.2727314041759602,0.04342905577494424,0.0,100,baseline_pca1_buckets
-0.031635046,6.563833657337638,160.76797684910167,0.14609244465827942,1.3379278939838781,0.4216992259025574,0.30490928564697334,-0.0041590175479043435,0.0,100,baseline_random_centroid
0.008773492,4.733250721429821,484.0754847757404,0.17102259397506714,1.218351930209553,0.6700687408447266,0.4866999223096514,-0.0031714475207403245,0.0,100,baseline_kmeanspp_one_shot
0.022653433,3.863294150113893,362.7969338881269,0.20088499784469604,1.1558198300627431,0.8002033829689026,0.5637398399937925,-0.002130598665197013,0.01,200,kmeans
-0.054604582,47.7512300368923,0.9967036556293571,0.021733496338129044,1.4093739989259668,0.05093968287110329,0.03775437310004213,0.09024437257898839,0.0,200,baseline_uniform_random
-0.057244994,48.972772559541916,0.9954868953718714,0.018507063388824463,1.4095690630360846,0.07239731401205063,0.03710371976594592,0.08669729998767792,0.01,200,baseline_shuffle_size
-0.0508315,43.890126935625545,4.774135031611829,0.02311083674430847,1.4058090451461678,0.09752372652292252,0.06947878363851082,0.07144687298178043,0.0,200,baseline_length_buckets
-0.05163083,40.94068740296402,77.2662128634815,0.023891089484095573,1.341683086314782,0.3650110363960266,0.27413937537911337,0.04660456494030197,0.0,200,baseline_pca1_buckets
-0.051826425,6.21981342168585,103.89903095205375,0.1432616263628006,1.3121419568650925,0.4627343714237213,0.3419965268723427,-0.002094456773725439,0.0,200,baseline_random_centroid
0.0001024579,4.796441197400276,290.12456705094576,0.15058812499046326,1.1905835546739427,0.7216525673866272,0.5220598939948496,0.0006232059918932751,0.0,200,baseline_kmeanspp_one_shot
0.014247394,3.8897065306058334,262.28018225212503,0.1921737790107727,1.137961772370839,0.8224297761917114,0.579935668470111,-0.0009449516646095044,0.01,300,kmeans
-0.074596055,39.115783886941266,1.007045084860629,0.02723994478583336,1.4084398826743108,0.06271588802337646,0.045758357302937994,0.06142417437539782,0.0,300,baseline_uniform_random
-0.10199726,40.29474379131801,1.0172276889679324,0.021423781290650368,1.4087885117772379,0.08977621793746948,0.04497541804148781,0.059463470328849855,0.01,300,baseline_shuffle_size
-0.09057426,36.734036793620284,3.525538447297409,0.02757243439555168,1.4048700908033027,0.10517808049917221,0.07466185249158104,0.0557294870486961,0.0,300,baseline_length_buckets
-0.0664168,34.73557398753084,51.765345935663824,0.02664870396256447,1.3410808297254333,0.3677929937839508,0.27546250386736854,0.04630357151663165,0.0,300,baseline_pca1_buckets
-0.072364114,5.948084469180107,77.44306102016273,0.15009362995624542,1.3007691510348718,0.48865559697151184,0.36035442890444974,-0.00018378367876628032,0.0,300,baseline_random_centroid
-0.009837813,4.768533653874858,212.56527764156138,0.14857575297355652,1.1736651879936926,0.7493432760238647,0.5404538833457743,-0.00020865029024862613,0.0,300,baseline_kmeanspp_one_shot
0.012357001,3.7937001394143386,207.6332973228215,0.18378876149654388,1.1243929269102364,0.8508903980255127,0.5907812514795536,-4.9891998673466475e-05,0.03,400,kmeans
-0.102268025,34.2192965389956,0.9808076992439544,0.03037077561020851,1.407566956635626,0.0715237557888031,0.05178011772724028,0.04697536274691677,0.0,400,baseline_uniform_random
-0.115275994,34.99307301926487,0.9846096839865387,0.024524066597223282,1.4080681903722858,0.1415698081254959,0.050289424097774135,0.044670214403084524,0.03,400,baseline_shuffle_size
-0.10285816,32.15725630924479,2.89924087576724,0.03193102031946182,1.4039366363155037,0.11212202906608582,0.07949375925526196,0.04525175532986113,0.0,400,baseline_length_buckets
-0.08744752,30.668851252363112,39.03181712148567,0.03067432902753353,1.3387098686512835,0.3686120808124542,0.2767387578127142,0.04622995263831435,0.0,400,baseline_pca1_buckets
-0.09405495,5.815105191662603,62.77639909749826,0.14283350110054016,1.2927258528609975,0.5055786371231079,0.3723861494458766,-0.00039005972719073347,0.0,400,baseline_random_centroid
-0.013638615,4.64633309016541,170.1073889303077,0.15205125510692596,1.1622614152582345,0.7687180638313293,0.5531393826607955,-0.0009013801040719911,0.0,400,baseline_kmeanspp_one_shot
0.006026089,3.79562109990121,173.90998407488402,0.17143067717552185,1.1140527018164519,0.8554155826568604,0.599823836853546,0.0008333622405224631,0.02,500,kmeans
-0.13352598,30.75659600765196,1.001025613892327,0.03331751748919487,1.4066052306287566,0.08073829859495163,0.05815047250351947,0.03772177630843726,0.0,500,baseline_uniform_random
-0.13788304,31.472536745246746,1.0054104039034786,0.026273241266608238,1.4072288865287337,0.13067111372947693,0.05673308863918458,0.035385065830058855,0.02,500,baseline_shuffle_size
-0.12342656,29.145087506635424,2.511338109643863,0.034884899854660034,1.4030368326562244,0.11816555261611938,0.0836854401986259,0.038568473256158864,0.0,500,baseline_length_buckets
-0.10823986,27.761591389459447,31.41123629967322,0.02987227588891983,1.3383098142319085,0.3715147376060486,0.2780438175944837,0.04498757808083376,0.0,500,baseline_pca1_buckets
-0.11251778,5.724819442908378,51.730099301202884,0.14935943484306335,1.291777477920057,0.5129824280738831,0.37771948360385726,0.0011248023093897853,0.0,500,baseline_random_centroid
-0.018053904,4.61642141768903,143.3013447734966,0.15500862896442413,1.15159578497228,0.7807717323303223,0.5633282088139617,0.0007042867741346233,0.0,500,baseline_kmeanspp_one_shot
-0.0014271429,3.7523188098460256,149.18838600913077,0.19065254926681519,1.1091844610984551,0.8769490718841553,0.6056331846460209,0.0009867297166444426,0.03833333333333333,600,kmeans
-0.15664156,28.244250877902232,0.9870337508640163,0.036656901240348816,1.405731337392672,0.08789147436618805,0.06305392744073596,0.03168830681457866,0.0,600,baseline_uniform_random
-0.16226208,28.405752461399207,1.0022265024684545,0.0293413158506155,1.4064889228616346,0.17699259519577026,0.061319802705043475,0.029348250293438148,0.03833333333333333,600,baseline_shuffle_size
-0.14491417,26.68967244114745,2.2579811145023663,0.037364449352025986,1.4021242146548656,0.12402798235416412,0.0878082678204057,0.03316049452891194,0.0,600,baseline_length_buckets
-0.122852154,25.48313555711131,26.34184470502509,0.03305620327591896,1.3364858900708254,0.3735113739967346,0.27938120813299455,0.044095645535784316,0.0,600,baseline_pca1_buckets
-0.11611271,5.6205101662656505,46.53900762905478,0.1561441719532013,1.2782087583438764,0.5292621850967407,0.39016187821400494,0.0026718888565287393,0.0,600,baseline_random_centroid
-0.02505124,4.561945079941606,124.24704000860356,0.15689361095428467,1.1425456480066638,0.7918844819068909,0.571141716340742,0.0013699580839855988,0.0,600,baseline_kmeanspp_one_shot
-0.0030587127,3.712107036200731,131.3626698266809,0.165800541639328,1.1037781338306605,0.888752818107605,0.6109320589286755,0.00048622657155297355,0.03857142857142857,700,kmeans
